wl,n,k
3017.6588628762547,2.0882502964475806,0.0
3033.645484949833,2.0878089315778348,0.0
3049.6321070234117,2.0873649906231138,0.0
3065.6187290969906,2.0869184615686116,0.0
3081.605351170569,2.0864693324266437,0.0
3097.5919732441475,2.0860175912332455,0.0
3113.578595317726,2.0855632260448687,0.0
3129.565217391305,2.085106224935178,0.0
3145.5518394648834,2.08464657599194,0.0
3161.538461538462,2.084184267313999,0.0
3177.5250836120404,2.0837192870083414,0.0
3193.5117056856193,2.0832516231872407,0.0
3209.4983277591978,2.0827812639654772,0.0
3225.4849498327762,2.082308197457637,0.0
3241.4715719063547,2.081832411775481,0.0
3257.4581939799336,2.08135389502538,0.0
3273.444816053512,2.0808726353058167,0.0
3289.431438127091,2.080388620704951,0.0
3305.4180602006695,2.079901839298246,0.0
3321.404682274248,2.0794122791461467,0.0
3337.391304347827,2.0789199282918176,0.0
3353.3779264214054,2.0784247747589335,0.0
3369.364548494984,2.077926806549516,0.0
3385.3511705685623,2.0774260116418217,0.0
3401.3377926421413,2.076922377988275,0.0
3417.3244147157197,2.076415893513445,0.0
3433.311036789298,2.075906546112063,0.0
3449.2976588628767,2.075394323647083,0.0
3465.2842809364556,2.0748792139477765,0.0
3481.270903010034,2.074361204807869,0.0
3497.2575250836126,2.0738402839837042,0.0
3513.244147157191,2.0733164391924506,0.0
3529.23076923077,2.072789658110332,0.0
3545.2173913043484,2.072259928370892,0.0
3561.204013377927,2.0717272375632896,0.0
3577.1906354515054,2.0711915732306156,0.0
3593.1772575250843,2.0706529228682435,0.0
3609.163879598663,2.0701112739222003,0.0
3625.1505016722413,2.0695666137875612,0.0
3641.1371237458197,2.069018929806871,0.0
3657.1237458193987,2.0684682092685813,0.0
3673.110367892977,2.067914439405515,0.0
3689.0969899665556,2.067357607393344,0.0
3705.083612040134,2.066797700349087,0.0
3721.070234113713,2.06623470532963,0.0
3737.0568561872915,2.065668609330254,0.0
3753.04347826087,2.0650993992831883,0.0
3769.0301003344484,2.0645270620561695,0.0
3785.0167224080274,2.0639515844510217,0.0
3801.003344481606,2.063372953202246,0.0
3816.9899665551848,2.0627911549756206,0.0
3832.976588628763,2.0622061763668196,0.0
3848.9632107023417,2.061618003900033,0.0
3864.94983277592,2.0610266240266046,0.0
3880.936454849499,2.060432023123676,0.0
3896.9230769230776,2.059834187492838,0.0
3912.909698996656,2.0592331033587934,0.0
3928.896321070235,2.0586287568680244,0.0
3944.8829431438135,2.058021134087467,0.0
3960.869565217392,2.0574102210031944,0.0
3976.8561872909704,2.0567960035191017,0.0
3992.8428093645493,2.0561784674555987,0.0
4008.8294314381274,2.055557598548306,0.0
4024.816053511706,2.0549333824467544,0.0
4040.8026755852848,2.05430580471309,0.0
4056.7892976588632,2.053674850820779,0.0
4072.775919732442,2.0530405061533177,0.0
4088.7625418060206,2.0524027560029405,0.0
4104.749163879599,2.0517615855693334,0.0
4120.735785953178,2.0511169799583486,0.0
4136.722408026756,2.0504689241807137,0.0
4152.7090301003345,2.0498174031507475,0.0
4168.695652173914,2.0491624016850722,0.0
4184.6822742474915,2.0485039045013242,0.0
4200.668896321071,2.047841896216865,0.0
4216.655518394649,2.0471763613474914,0.0
4232.642140468228,2.046507284306139,0.0
4248.628762541805,2.0458346494015895,0.0
4264.615384615385,2.045158440837169,0.0
4280.602006688963,2.0444786427094463,0.0
4296.588628762543,2.0437952390069296,0.0
4312.57525083612,2.043108213608752,0.0
4328.561872909699,2.0424175502833606,0.0
4344.548494983278,2.041723232687195,0.0
4360.5351170568565,2.041025244363363,0.0
4376.521739130435,2.040323568740312,0.0
4392.508361204013,2.039618189130491,0.0
4408.494983277592,2.03890908872901,0.0
4424.481605351171,2.0381962506122893,0.0
4440.46822742475,2.0374796577367045,0.0
4456.454849498327,2.0367592929372256,0.0
4472.441471571907,2.036035138926042,0.0
4488.428093645485,2.035307178291187,0.0
4504.414715719065,2.0345753934951514,0.0
4520.401337792642,2.0338397668734847,0.0
4536.387959866221,2.0331002806333927,0.0
4552.3745819398,2.032356916852325,0.0
4568.3612040133785,2.0316096574765488,0.0
4584.347826086956,2.030858484319718,0.0
4600.334448160535,2.0301033790614293,0.0
4616.321070234114,2.029344323245767,0.0
4632.307692307693,2.0285812982798395,0.0
4648.294314381271,2.027814285432302,0.0
4664.280936454849,2.02704326583187,0.0
4680.267558528429,2.0262682204658193,0.0
4696.254180602007,2.0254891301784754,0.0
4712.240802675585,2.0247059756696877,0.0
4728.227424749164,2.0239187374932928,0.0
4744.214046822743,2.0231273960555676,0.0
4760.200668896322,2.0223319316136616,0.0
4776.1872909699,2.021532324274022,0.0
4792.173913043478,2.020728553990804,0.0
4808.160535117057,2.01992060056426,0.0
4824.147157190636,2.019108443639125,0.0
4840.133779264214,2.018292062702979,0.0
4856.120401337793,2.0174714370845934,0.0
4872.107023411371,2.0166465459522684,0.0
4888.093645484951,2.015817368312148,0.0
4904.080267558528,2.014983883006522,0.0
4920.066889632107,2.014146068712109,0.0
4936.053511705686,2.0133039039383256,0.0
4952.040133779265,2.0124573670255326,0.0
4968.026755852843,2.011606436143271,0.0
4984.0133779264215,2.0107510892884726,0.0
5000.0,2.0098913042836566,0.0
